Player,Position,Detailed position,Number,Birth date,Age,Caps,Weight (KG),Height (cm),Birth place,National team,Continent / Region,Team,Country of current team,Continent of current team / Region,Won the World Cup?,How many times played the World Cup? (including this one),Has ever won Champions League?,Previous teams?
Mitchell Duke,Forward,,,18/01/1991,31,20,,,Australia,Australia,Oceania,Fagiano Okayama,Japan,Asia,,,,
Garang Kuol,Forward,,,15/09/2004,18,1,,,Egypt,Australia,Oceania,Central Coast Mariners,Australia,Oceania,,,,
Craig Goodwin,Forward,,,16/12/1991,30,10,,180,Australia,Australia,Oceania,Adelaide United,Australia,Oceania,,,,
Graham Arnold,Coach,,,03/08/1963,59,,,179,Australia,Australia,Oceania,,,,,,,
Manuel Neuer,Goalkeeper,,1,27/03/1986,36,113,,,,Germany,Europe,Bayern Munich,Germany,Europe,1,,,
Marc-Andre ter Stegen,Goalkeeper,,,30/04/1992,30,30,,,,Germany,Europe,Barcelona,Spain,Europe,,,,
Kevin Trapp,Goalkeeper,,,08/07/1990,32,6,,,,Germany,Europe,Eintracht Frankfurt,Germany,Europe,,,,
Armel Bella-Kotchap,Defender,,,11/11/2001,20,1,,,,Germany,Europe,Southampton,England,Europe,,,,
Mattias Ginter,Defender,,,19/01/1994,28,46,,,,Germany,Europe,SC Freiburg,Germany,Europe,,,,
Christian Gunter,Defender,,,28/02/1993,29,6,,,,Germany,Europe,Freiburg,Germany,Europe,,,,
Thilo Kehrer,Defender,,,21/09/1996,26,22,,,,Germany,Europe,West Ham,England,Europe,,,,
Lukas Klostermann,Defender,,,03/06/1996,26,18,,,,Germany,Europe,RB Leipzig,Germany,Europe,,,,
David Raum,Defender,,,22/04/1998,24,11,,,,Germany,Europe,RB Leipzig,Germany,Europe,,,,
Antonio Rudiger,Defender,,,22/04/1998,29,54,,,,Germany,Europe,Real Madrid,Spain,Europe,,,,
Nico Schlotterbeck,Defender,,,01/11/1999,22,5,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Niklas Sule,Defender,,,03/09/1995,27,42,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Julian Brandt,Midfielder,,,02/05/1996,26,38,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Leon Goretzka,Midfielder,,,06/02/1995,44,14,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Ilkay Gundogan,Midfielder,,,24/10/1990,31,62,,,,Germany,Europe,Manchester City,England,Europe,,,,
Mario Gotze,Midfielder,,,03/06/1992,30,63,,,,Germany,Europe,Eintracht Frankfurt,Germany,Europe,1,,,
Jonas Hofmann,Midfielder,,,14/07/1992,30,16,,,,Germany,Europe,B. Monchengladbach,Germany,Europe,,,,
Joshua Kimmich,Midfielder,,,08/02/1995,27,70,,,,Germany,Europe,Bayern Munich,Germany,Europe,1,,,
Jamal Musiala,Midfielder,,,26/02/2003,19,17,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Youssoufa Moukoko,Forward,,,20/11/2004,17,0,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Karim Adeyemi,Forward,,,18/01/2002,20,4,,,,Germany,Europe,Borussia Dortmund,Germany,Europe,,,,
Niclas Fullkrug,Forward,,,09/02/1993,29,0,,,,Germany,Europe,Werder Bremen,Germany,Europe,,,,
Serge Gnabry,Forward,,,14/07/1995,27,36,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Kai Havertz,Forward,,,11/06/1999,23,30,,,,Germany,Europe,Chelsea,England,Europe,,,,
Thomas Muller,Forward,,,13/09/1989,33,118,,,,Germany,Europe,Bayern Munich,Germany,Europe,1,,,
Leroy Sane,Forward,,,11/01/1996,26,47,,,,Germany,Europe,Bayern Munich,Germany,Europe,,,,
Hansi Flick,Coach,,,24/02/1965,57,,,177,Germany,Germany,Europe,,,,1,,,
Wojciech Szczesny,Goalkeeper,,,18/04/1990,32,66,,,,Poland,Europe,Juventus,Italy,Europe,,,,
Bartlomiej Dragowski,Goalkeeper,,,19/08/1997,25,2,,,,Poland,Europe,Spezia,Italy,Europe,,,,
Lukasz Skorupski,Goalkeeper,,,05/05/1991,31,7,,,,Poland,Europe,Bologna,Italy,Europe,,,,
Jan Bednarek,Defender,,,12/04/1996,26,44,,,,Poland,Europe,Aston Villa,England,Europe,,,,
Kamil Glik,Defender,,,08/07/1988,34,98,,,,Poland,Europe,Benevento,Italy,Europe,,,,
Matty Cash,Defender,,,07/08/1997,25,7,,,,Poland,Europe,Aston Villa,England,Europe,,,,
Jakub Kiwior,Defender,,,15/02/2000,22,2,,,,Poland,Europe,Spezia,Italy,Europe,,,,
Robert Gumny,Defender,,,04/06/1998,24,4,,,,Poland,Europe,FC Augsburg,Germany,Europe,,,,
Bartosz Bereszynski,Defender,,,12/07/1992,30,45,,,,Poland,Europe,Sampdoria,Italy,Europe,,,,
Mateusz Wieteska,Defender,,,11/02/1997,25,1,,,,Poland,Europe,Clermont,France,Europe,,,,
Nicola Zalewski,Defender,,,23/01/2002,20,7,,,,Poland,Europe,Roma,Italy,Europe,,,,
Artur Jedrzejczyk,Defender,,,04/11/1987,34,40,,,,Poland,Europe,Legia Warsaw,Poland,Europe,,,,
Michal Skoras,Midfielder,,,15/02/2000,22,1,,,,Poland,Europe,Lech Poznan,Poland,Europe,,,,
Grzegorz Krychowiak,Midfielder,,,29/01/1990,32,93,,,,Poland,Europe,Al Shabab,Saudi Arabia,Middle East,,,,
Piotr Zielinski,Midfielder,,,20/05/1994,28,74,,,,Poland,Europe,Napoli,Italy,Europe,,,,
Krystian Bielik,Midfielder,,,04/01/1998,24,5,,,,Poland,Europe,Birmingham,England,Europe,,,,
Kamil Grosicki,Midfielder,,,08/06/1988,34,86,,,,Poland,Europe,Pogon Szczecin,Poland,Europe,,,,
Przemyslaw Frankowski,Midfielder,,,12/04/1995,27,25,,,,Poland,Europe,Lens,France,Europe,,,,
Sebastian Szymanski,Midfielder,,,10/05/1999,23,17,,,,Poland,Europe,Feyenoord,Netherlands,Europe,,,,
Damian Szymanski,Midfielder,,,16/06/1995,27,8,,,,Poland,Europe,AEK Athens,Greece,Europe,,,,
Szymon Zurkowski,Midfielder,,,25/09/1997,25,6,,,,Poland,Europe,Fiorentina,Italy,Europe,,,,
Jakub Kaminski,Midfielder,,,05/06/2002,20,3,,,,Poland,Europe,Wolfsburg,Germany,Europe,,,,
Krzysztof Piatek,Forward,,,01/07/1995,27,10,,,,Poland,Europe,Salernitana,Italy,Europe,,,,
Karol Swiderski,Forward,,,23/01/1997,25,17,,,,Poland,Europe,Charlotte,USA,North America,,,,
Arkadiusz Milik,Forward,,,28/02/1994,28,63,,,,Poland,Europe,Juventus,Italy,Europe,,,,
Robert Lewandowski,Forward,,,21/08/1988,34,134,,,,Poland,Europe,Barcelona,Spain,Europe,,,,
Czesław Michniewicz,Coach,,,12/02/1970,52,,,188,Belarus,Poland,Europe,,,,,,,
Wayne Hennessey,Goalkeeper,,,24/01/1987,35,106,,,Wales,Wales,Europe,Nottingham Forest,England,Europe,,,,
Danny Ward,Goalkeeper,,,22/06/1993,29,26,,,Wales,Wales,Europe,Leicester City,England,Europe,,,,
Adam Davies,Goalkeeper,,,17/07/1992,30,3,,,Germany,Wales,Europe,Sheffield United,England,Europe,,,,
Ethan Ampadu,Defender,,,14/09/2000,22,37,,,England,Wales,Europe,Spezia,Italy,Europe,,,,
Chris Mepham,Defender,,,05/11/2000,24,33,,,England,Wales,Europe,Bournemouth,England,Europe,,,,
Ben Davies,Defender,,,24/04/1993,29,74,,,Wales,Wales,Europe,Tottenham,Scotland,Europe,,,,
Chris Gunter,Defender,,,21/07/1989,33,109,,,Wales,Wales,Europe,Wimbledon,England,Europe,,,,
Connor Roberts,Defender,,,23/09/1995,27,41,,,Wales,Wales,Europe,Burnley,England,Europe,,,,
Joe Rodon,Defender,,,22/10/1997,24,30,,,Wales,Wales,Europe,Rennes,France,Europe,,,,
Neco Williams,Defender,,,13/04/2001,21,23,,,Wales,Wales,Europe,Nottingham Forest,England,Europe,,,,
Ben Cabango,Defender,,,30/05/2000,22,5,,,Wales,Wales,Europe,Swansea City,Wales,Europe,,,,
Tom Lockyer,Defender,,,03/12/1994,27,14,,,Wales,Wales,Europe,Luton Town,England,Europe,,,,
Joe Allen,Midfielder,,,14/03/1990,32,72,,,Wales,Wales,Europe,Swansea City,Wales,Europe,,,,
Aaron Ramsey,Midfielder,,,26/12/1990,31,75,,,Wales,Wales,Europe,Nice,France,Europe,,,,
Harry Wilson,Midfielder,,,22/03/1997,25,39,,,Wales,Wales,Europe,Fulham,England,Europe,,,,
Jonny Williams,Midfielder,,,09/10/1993,29,33,,,England,Wales,Europe,Swindon Town,England,Europe,,,,
Joe Morrell,Midfielder,,,03/01/1997,25,30,,,England,Wales,Europe,Portsmouth,England,Europe,,,,
Matthew Smith,Midfielder,,,22/11/1999,22,19,,,England,Wales,Europe,MK Dons,England,Europe,,,,
Dylan Levitt,Midfielder,,,17/11/2000,21,13,,,Wales,Wales,Europe,Dundee United,Scotland,Europe,,,,
Ruben Colwill,Midfielder,,,27/04/2002,20,7,,,Wales,Wales,Europe,Swansea City,England,Europe,,,,
Sorba Thomas,Midfielder,,,25/01/1999,23,6,,,England,Wales,Europe,Huddersfield Town,England,Europe,,,,
Gareth Bale,Forward,,,16/07/1989,33,108,,,Wales,Wales,Europe,Los Angeles FC,USA,North America,,,,
Daniel James,Forward,,,10/11/1997,24,38,,,England,Wales,Europe,Fulham,England,Europe,,,,
Kieffer Moore,Forward,,,08/08/1992,30,28,,,England,Wales,Europe,Bournemouth,England,Europe,,,,
Brennan Johnson,Forward,,,23/05/2001,21,15,,,England,Wales,Europe,Nottingham Forest,England,Europe,,,,
Mark Harris,Forward,,,29/12/1998,23,5,,,Wales,Wales,Europe,Cardiff City,Wales,Europe,,,,
Rob Page,Coach,,,03/09/1974,48,,,183,Wales,Wales,Europe,,,,,,,
Ethan Horvath,Goalkeeper,,,09/06/1995,27,8,,,USA,USA,North America,Luton Town,England,Europe,,,,
Sean Johnson,Goalkeeper,,,31/05/1989,33,10,,,USA,USA,North America,NYCFC,USA,North America,,,,
Matt Turner,Goalkeeper,,,24/06/1994,28,18,,191,USA,USA,North America,Arsenal,England,Europe,,,,
Tim Ream,Defender,,,05/10/1987,35,46,,,USA,USA,North America,Fulham,England,Europe,,,,
Cameron Carter-Vickers,Defender,,,31/12/1997,24,10,,,England,USA,North America,Celtic,Scotland,Europe,,,,
Sergino Dest,Defender,,,03/11/2000,21,17,,,Netherland,USA,North America,AC Milan,Italy,Europe,,,,
Aaron Long,Defender,,,12/10/1992,30,29,,,USA,USA,North America,NY Red Bulls,USA,North America,,,,
Shaq Moore,Defender,,,02/11/1996,26,15,,180,USA,USA,North America,Nashville SC,USA,North America,,,,
Antonee Robinson,Defender,,,08/08/1997,25,28,,,England,USA,North America,Fulham,England,Europe,,,,
Joe Scally,Defender,,,31/12/1997,19,2,,,U.S,USA,North America,Gladbach,Germany,Europe,,,,
DeAndre Yedlin,Defender,,,09/07/1993,29,74,,,USA,USA,North America,Inter Miami,USA,North America,,,,
Walker Zimmerman,Defender,,,19/05/1993,29,31,,,USA,USA,North America,Nashville SC,USA,North America,,,,
Kellyn Acosta,Midfielder,,,24/07/1995,27,52,,178,USA,USA,North America,LAFC,USA,North America,,,,
Tyler Adams,Midfielder,,,14/02/1999,23,19,,175,USA,USA,North America,Leeds United,England,Europe,,,,
Weston McKennie,Midfielder,,,28/08/1998,24,34,,,USA,USA,North America,Juventus,Italy,Europe,,,,
Yunus Musah,Midfielder,,,29/11/2002,19,18,,178,USA,USA,North America,Valencia,Spain,Europe,,,,
Cristian Roldan,Midfielder,,,03/06/1995,27,32,,,USA,USA,North America,Seattle Sonders,USA,North America,,,,
Brenden Aaronson,Midfielder,,,22/10/2000,21,21,,,USA,USA,North America,Leeds United,England,Europe,,,,
Luca de la Torre,Midfielder,,,23/05/1998,24,12,,,USA,USA,North America,Celta Vigo,Spain,Europe,,,,
Gio Reyna,Forward,,,13/11/2002,19,11,,,,USA,North America,Borussia Dortmund,Germany,Europe,,,,
Jesus Ferreira,Forward,,,24/12/2000,21,12,,175,Colombia,USA,North America,FC Dallas,USA,North America,,,,
Jordan Morris,Forward,,,26/10/1994,27,47,,,,USA,North America,Seattle Sounders,USA,North America,,,,
Haji Wright,Forward,,,27/3/1998,24,3,,,USA,USA,North America,Antalyaspor,Turkey,Europe,,,,
Christian Pulisic,Forward,,,18/09/1998,24,50,,,USA,USA,North America,Chelsea,England,Europe,,,,
Josh Sargent,Forward,,,20/02/2000,22,19,,,USA,USA,North America,Norwich City,England,Europe,,,,
Timothy Weah,Forward,,,22/02/2000,22,24,,,USA,USA,North America,LOSC Lille,France,Europe,,,,
Gregg Berhalter,Coach,,,01/08/1973,49,,,185,USA,USA,North America,,,,,,,
Thibaut Courtois,Goalkeeper,,,11/05/1992,30,96,,,Belgium,Belgium,Europe,Real Madrid,Spain,Europe,,,,
Simon Mignolet,Goalkeeper,,,06/03/1988,34,35,,,Belgium,Belgium,Europe,Club Brugge,Belgium,Europe,,,,
Koen Casteels,Goalkeeper,,,25/06/1992,30,4,,,Belgium,Belgium,Europe,Wolfsburg,Germany,Europe,,,,
Toby Alderweireld,Defender,,,02/03/1989,33,123,,,Belgium,Belgium,Europe,Royal Antwerp,Belgium,Europe,,,,
Arthur Theate,Defender,,,25/05/2000,22,3,,,Belgium,Belgium,Europe,Stade Rennes,France,Europe,,,,
Wout Faes,Defender,,,03/04/1998,24,1,,,Belgium,Belgium,Europe,Leicester City,England,Europe,,,,
Jan Vertonghen,Defender,,,24/04/1987,35,141,,,Belgium,Belgium,Europe,Anderlecht,Belgium,Europe,,,,
Thomas Meunier,Defender,,,12/09/1991,31,58,,,Belgium,Belgium,Europe,Borussia Dortmund,Germany,Europe,,,,
Timothy Castagne,Defender,,,05/12/1995,26,25,,,Belgium,Belgium,Europe,Leicester City,England,Europe,,,,
Zeno Debast,Defender,,,24/10/2003,18,2,,,Belgium,Belgium,Europe,Anderlecht,Belgium,Europe,,,,
Kevin de Bruyne,Midfielder,,,28/06/1991,31,93,,,Belgium,Belgium,Europe,Man City,England,Europe,,,,
Hans Vanaken,Midfielder,,,24/08/1992,30,22,,,Belgium,Belgium,Europe,Club Brugge,Belgium,Europe,,,,
Youri Tielemans,Midfielder,,,07/05/1997,54,5,,,Belgium,Belgium,Europe,Leicester City,England,Europe,,,,
Leander Dendoncker,Midfielder,,,15/04/1995,27,29,,,Belgium,Belgium,Europe,Aston Villa,England,Europe,,,,
Amadou Onana,Midfielder,,,16/08/2001,21,2,,,Senegal,Belgium,Europe,Everton,England,Europe,,,,
Yannick Carrasco,Midfielder,,,04/09/1993,29,59,,,Belgium,Belgium,Europe,Atletico Madrid,Spain,Europe,,,,
Axel Witsel,Midfielder,,,12/01/1989,33,126,,,Belgium,Belgium,Europe,Atletico Madrid,Spain,Europe,,,,
Charles de Ketelaere,Midfielder,,,10/04/2001,21,10,,,Belgium,Belgium,Europe,AC Milan,Italy,Europe,,,,
Leandro Trossard,Midfielder,,,04/12/1994,27,21,,,Belgium,Belgium,Europe,Brighton,England,Europe,,,,
Thorgan Hazard,Midfielder,,,29/03/1993,29,45,,,Belgium,Belgium,Europe,Borussia Dortmund,Germany,Europe,,,,
Romelu Lukaku,Forward,,,13/05/1993,29,102,,,Belgium,Belgium,Europe,Inter Milan,Italy,Europe,,,,
Michy Batshuayi,Forward,,,02/10/1993,29,47,,,Belgium,Belgium,Europe,Fenerbahce,Turkey,Europe,,,,
Dries Mertens,Forward,,,06/05/1987,35,106,,,Belgium,Belgium,Europe,Galatasaray,Turkey,Europe,,,,
Eden Hazard,Forward,,,07/01/1991,31,122,,,Belgium,Belgium,Europe,Real Madrid,Spain,Europe,,,,
Lois Openda,Forward,,,12/02/2000,22,4,,,Belgium,Belgium,Europe,Lens,France,Europe,,,,
Jeremy Doku,Forward,,,27/05/2002,20,10,,,Belgium,Belgium,Europe,Stade Rennes,France,Europe,,,,
Roberto Martínez,Coach,,,13/7/1973,49,,,178,Spain,Belgium,Europe,,,,,,,
Simon Ngapandouetnbu,Goalkeeper,,,12/04/2003,19,0,,,Cameroon,Cameroon,Africa,Marseille,France,Europe,,,,
Devis Epassy,Goalkeeper,,,02/02/1993,29,5,,,France,Cameroon,Africa,Abha,Saudi Arabia,Middle East,,,,
Andre Onana,Goalkeeper,,,02/04/1996,26,31,,,Cameroon,Cameroon,Africa,Inter Milan,Italy,Europe,,,,
Nicolas Nkoulou,Defender,,,27/03/1990,32,76,,,Cameroon,Cameroon,Africa,Aris,Greece,Europe,,,,
Nouhou Tolo,Defender,,,23/06/1997,25,16,,,Cameroon,Cameroon,Africa,Seattle Sounders,USA,North America,,,,
Oliver Mbaizo,Defender,,,15/08/1997,25,11,,,Cameroon,Cameroon,Africa,Philadelphia Union,USA,North America,,,,
Collins Fai,Defender,,,13/8/1992,29,50,,,Cameroon,Cameroon,Africa,Al-Tai,Saudi Arabia,Middle East,,,,
Jean-Charles Castelletto,Defender,,,26/01/1995,27,12,,,France,Cameroon,Africa,Nantes,France,Europe,,,,
Enzo Ebosse,Defender,,,11/03/1999,23,1,,,France,Cameroon,Africa,Udinese,Italy,Europe,,,,
Christopher Wooh,Defender,,,18/09/2001,21,1,,,France,Cameroon,Africa,Rennes,France,Europe,,,,
Olivier Ntcham,Midfielder,,,09/02/1996,26,1,,,,Cameroon,Africa,Swansea City,Wales,Europe,,,,
Pierre Kunde,Midfielder,,,26/07/1995,27,30,,,Cameroon,Cameroon,Africa,Olympiakos,Greece,Europe,,,,
Martin Hongla,Midfielder,,,16/03/1998,24,17,,,Cameroon,Cameroon,Africa,Verona,Italy,Europe,,,,
Samuel Gouet,Midfielder,,,14/12/1997,24,21,,,Cameroon,Cameroon,Africa,Mechelen,Belgium,Europe,,,,
Gael Ondoa,Midfielder,,,04/11/1995,26,3,,,Cameroon,Cameroon,Africa,Hannover 96,Germany,Europe,,,,
Andre-Franck Zambo-Anguissa,Midfielder,,,16/11/1995,26,42,,,Cameroon,Cameroon,Africa,Napoli,Italy,Europe,,,,
Moumi Ngamaleu,Forward,,,09/07/1994,28,21,,,,Cameroon,Africa,Dynamo Moscow,Russia,Europe,,,,
Jerome Ngom Mbekeli,Midfielder,,,30/07/1998,24,0,,,Cameroon,Cameroon,Africa,Apejec FC,Cameroon,Africa,,,,
Jean-Pierre Nsame,Forward,,,01/05/1993,29,3,,,,Cameroon,Africa,Young Boys,Switzerland,Europe,,,,
Georges-Kevin Nkoudou,Forward,,,13/02/1995,27,1,,,,Cameroon,Africa,Besiktas,Turkey,Europe,,,,
Vincent Aboubakar,Forward,,,22/01/1992,30,88,,,Cameroon,Cameroon,Africa,Al-Nassr,Saudi Arabia,Middle East,,,,
Karl Toko Ekambi,Forward,,,14/09/1992,30,50,,,France,Cameroon,Africa,Lyon,France,Europe,,,,
Bryan Mbeumo,Forward,,,07/08/1999,23,1,,,Cameroon,Cameroon,Africa,Brentford,England,Europe,,,,
Eric Maxim Choupo-Moting,Forward,,,23/03/1989,33,68,,,Germany,Cameroon,Africa,Bayern Munich,Germany,Europe,,,,
Christian Bassogog,Forward,,,18/10/1995,27,42,,,Cameroon,Cameroon,Africa,SH Shenhua,China,Asia,,,,
Marou Souaibou,Forward,,,03/12/1995,21,0,,,Cameroon,Cameroon,Africa,Coton Sport FC,Cameroon,Africa,,,,
Rigobert Song,Coach,,,1/7/1976,46,,,183,Cameroon,Cameroon,Africa,,,,,,,